participant_id,age,gender,handedness,vision,condition
sub62_NB,23.0,Female,Right handed,Normal,NB
sub63_NB,27.0,Male,Right handed,Normal,NB
sub64_NB,22.0,Male,Right handed,Normal,NB
sub65_NB,20.0,Male,Right handed,Normal,NB
sub66_NB,,,,,NB
sub67_NB,22.0,Male,Right handed,Corrected to normal,NB
sub68_NB,20.0,Male,Right handed,Corrected to normal,NB
sub69_NB,27.0,Male,Right handed,Corrected to normal,NB
sub70_NB,28.0,Male,Right handed,Normal,NB
sub71_NB,25.0,Female,Right handed,Normal,NB
sub72_NB,28.0,Male,Right handed,Corrected to normal,NB
sub73_NB,23.0,Male,Right handed,Normal,NB
sub74_NB,22.0,Male,Right handed,Corrected to normal,NB
sub75_NB,21.0,Male,Right handed,Corrected to normal,NB
sub76_NB,20.0,Female,Right handed,Normal,NB
sub77_NB,23.0,Male,Right handed,Normal,NB
sub78_NB,20.0,Female,Right handed,Uncorrected vision difficulty,NB
sub79_NB,23.0,Male,Right handed,Corrected to normal,NB
sub80_NB,,,,,NB
sub81_NB,23.0,Male,Right handed,Normal,NB
sub82_NB,19.0,Male,Right handed,Corrected to normal,NB
sub83_NB,22.0,Female,Right handed,Corrected to normal,NB
sub84_NB,24.0,Male,Right handed,Corrected to normal,NB
sub85_NB,24.0,Female,Right handed,Corrected to normal,NB
nan,,,,,
nan,,,,,
