path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,16,16,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['r'],0,[8.145385499927215],[None],5,1.1804221000056714,,,,,0,16,16,12,1705.1587204999523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705.141585299978,1705.1587204999523,1705.1587204999523,1705.1587204999523,1705.1587204999523,1705.1587204999523,1705.1587204999523,1713.3086919999914,['r'],0,[8.145385499927215],[None],1713.3097050999058,1713.322577499901,1713.322577499901,1713.322577499901,1714.5075421999209,5,1.1804221000056714,5,1.1804221000056714,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,17,17,0,7,frames\Vid7_EM_T.png,frames\Vid7_L.png,['l'],1,[4.144137200084515],[None],5,1.0650534000014886,,,,,0,17,17,6,1714.5758598999819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714.5535226999782,1714.5758598999819,1714.5758598999819,1714.5758598999819,1714.5758598999819,1714.5758598999819,1714.5758598999819,1718.7249332999345,['l'],1,[4.144137200084515],[None],1718.7258934999118,1718.7392209999962,1718.7392209999962,1718.7392209999962,1719.8062256999547,5,1.0650534000014886,5,1.0650534000014886,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,18,18,0,3,frames\Vid3_BB_T.png,frames\Vid3_L.png,['r'],1,[3.164956400054507],[None],5,1.196704899892211,,,,,0,18,18,2,1719.8592205999885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719.8463679999113,1719.8592205999885,1719.8592205999885,1719.8592205999885,1719.8592205999885,1719.8592205999885,1719.8592205999885,1723.0256538999965,['r'],1,[3.164956400054507],[None],1723.0268616999965,1723.0395674000029,1723.0395674000029,1723.0395674000029,1724.24109149992,5,1.196704899892211,5,1.196704899892211,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,19,19,0,32,frames\Vid32_EM_T.png,frames\Vid32_L.png,['l'],1,[2.261110399966128],[None],5,1.2485469999955967,,,,,0,19,19,31,1724.2751148999669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724.2542415999342,1724.2751148999669,1724.2751148999669,1724.2751148999669,1724.2751148999669,1724.2751148999669,1724.2751148999669,1726.5410191999981,['l'],1,[2.261110399966128],[None],1726.5419721999206,1726.5562427999685,1726.5562427999685,1726.5562427999685,1727.8068933999166,5,1.2485469999955967,5,1.2485469999955967,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,20,20,0,18,frames\Vid18_EM_T.png,frames\Vid18_L.png,['l'],1,[3.5127389999106526],[None],5,2.2472498000133783,,,,,0,20,20,17,1727.8394702998921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727.8203317999141,1727.8394702998921,1727.8394702998921,1727.8394702998921,1727.8394702998921,1727.8394702998921,1727.8394702998921,1731.3587828999152,['l'],1,[3.5127389999106526],[None],1731.3598339000018,1731.3723447999218,1731.3723447999218,1731.3723447999218,1733.624298999901,5,2.2472498000133783,5,2.2472498000133783,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,21,21,0,37,frames\Vid37_BB_T.png,frames\Vid37_L.png,['r'],1,[3.560053799999878],[None],5,2.332624000031501,,,,,0,21,21,36,1733.6559720999794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1733.6389911998995,1733.6559720999794,1733.6559720999794,1733.6559720999794,1733.6559720999794,1733.6559720999794,1733.6559720999794,1737.223526799935,['r'],1,[3.560053799999878],[None],1737.22418619995,1737.239954299992,1737.239954299992,1737.239954299992,1739.5734204999171,5,2.332624000031501,5,2.332624000031501,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,22,22,0,17,frames\Vid17_BB_T.png,frames\Vid17_L.png,['r'],1,[5.345852899947204],[None],5,1.3803025999804959,,,,,0,22,22,16,1739.606279599946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739.5972814999986,1739.606279599946,1739.606279599946,1739.606279599946,1739.606279599946,1739.606279599946,1739.606279599946,1744.9595972999232,['r'],1,[5.345852899947204],[None],1744.9608800999122,1744.9877578999149,1744.9877578999149,1744.9877578999149,1746.3564156999346,5,1.3803025999804959,5,1.3803025999804959,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,23,23,0,33,frames\Vid33_BB_T.png,frames\Vid33_L.png,['l'],1,[4.535849999985658],[None],5,2.0146192999091,,,,,0,23,23,32,1746.376195599907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746.366412299918,1746.376195599907,1746.376195599907,1746.376195599907,1746.376195599907,1746.376195599907,1746.376195599907,1750.9249358999077,['l'],1,[4.535849999985658],[None],1750.9265163999517,1750.9546126999194,1750.9546126999194,1750.9546126999194,1752.9569049999118,5,2.0146192999091,5,2.0146192999091,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,24,24,0,23,frames\Vid23_EM_T.png,frames\Vid23_L.png,['r'],1,[7.970815699896775],[None],5,1.930209800018929,,,,,0,24,24,22,1752.989257899928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.9719626998994,1752.989257899928,1752.989257899928,1752.989257899928,1752.989257899928,1752.989257899928,1752.989257899928,1760.9759123999393,['r'],1,[7.970815699896775],[None],1760.9770926999627,1760.9893754000077,1760.9893754000077,1760.9893754000077,1762.923709900002,5,1.930209800018929,5,1.930209800018929,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,25,25,0,8,frames\Vid8_BB_T.png,frames\Vid8_L.png,['r'],0,[9.002513000043109],[None],5,1.3800780000165105,,,,,0,25,25,7,1762.9736555999843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.964072200004,1762.9736555999843,1762.9736555999843,1762.9736555999843,1762.9736555999843,1762.9736555999843,1762.9736555999843,1771.9922212999081,['r'],0,[9.002513000043109],[None],1771.9932670999551,1772.0058055999689,1772.0058055999689,1772.0058055999689,1773.3902674999554,5,1.3800780000165105,5,1.3800780000165105,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
