participant_id,condition,vigilance_pressed,vigilance_correct,encoding_duration,vigilance_accuracy,passed_vigilance
sub83_NB,NB,0.0,1.0,,1.0,True
sub67_NB,NB,0.0,1.0,,1.0,True
sub57_NB,NB,1.0,1.0,,1.0,True
sub35_AB,AB,0.0,1.0,,1.0,True
sub27_AB,AB,0.0,1.0,,1.0,True
sub139_AB,AB,0.0,1.0,,1.0,True
sub181_NB,NB,1.0,1.0,,1.0,True
sub111_AB,AB,0.0,1.0,,1.0,True
sub46_NB,NB,0.0,1.0,,1.0,True
sub90_AB,AB,0.0,1.0,,1.0,True
sub138_AB,AB,0.0,1.0,,1.0,True
sub116_AB,AB,1.0,1.0,,1.0,True
sub36_AB,AB,1.0,1.0,,1.0,True
sub62_NB,NB,1.0,1.0,,1.0,True
sub158_NB,NB,0.0,1.0,,1.0,True
sub160_NB,NB,0.0,1.0,,1.0,True
sub170_NB,NB,0.0,1.0,,1.0,True
sub30_AB,AB,0.0,1.0,,1.0,True
sub114_AB,AB,0.0,1.0,,1.0,True
sub182_NB,NB,0.0,1.0,,1.0,True
sub126_AB,AB,0.0,1.0,,1.0,True
sub66_NB,NB,0.0,1.0,,1.0,True
sub112_AB,AB,1.0,1.0,,1.0,True
sub75_NB,NB,0.0,1.0,,1.0,True
sub23_AB,AB,0.0,1.0,,1.0,True
sub98_AB,AB,0.0,1.0,,1.0,True
sub143_AB,AB,0.0,1.0,,1.0,True
sub166_NB,NB,1.0,1.0,,1.0,True
sub122_AB,AB,0.0,1.0,,1.0,True
sub156_NB,NB,0.0,1.0,,1.0,True
sub60_NB,NB,1.0,1.0,,1.0,True
sub115_AB,AB,0.0,1.0,,1.0,True
sub153_NB,NB,0.0,1.0,,1.0,True
sub69_NB,NB,0.0,1.0,,1.0,True
sub107_AB,AB,0.0,1.0,,1.0,True
sub59_NB,NB,0.0,1.0,,1.0,True
sub92_AB,AB,0.0,1.0,,1.0,True
sub142_AB,AB,0.0,1.0,,1.0,True
sub161_NB,NB,0.0,1.0,,1.0,True
sub73_NB,NB,0.0,1.0,,1.0,True
sub131_AB,AB,0.0,1.0,,1.0,True
sub44_NB,NB,0.0,1.0,,1.0,True
sub81_NB,NB,1.0,1.0,,1.0,True
sub163_NB,NB,0.0,1.0,,1.0,True
sub103_AB,AB,0.0,1.0,,1.0,True
sub31_AB,AB,0.0,1.0,,1.0,True
sub88_AB,AB,0.0,1.0,,1.0,True
sub37_AB,AB,0.0,1.0,,1.0,True
sub95_AB,AB,0.0,1.0,,1.0,True
sub136_AB,AB,1.0,1.0,,1.0,True
sub72_NB,NB,0.0,1.0,,1.0,True
sub125_AB,AB,1.0,1.0,,1.0,True
sub120_AB,AB,1.0,1.0,,1.0,True
sub52_NB,NB,0.0,1.0,,1.0,True
sub86_NB,NB,1.0,1.0,,1.0,True
sub172_NB,NB,0.0,1.0,,1.0,True
sub34_AB,AB,0.0,1.0,,1.0,True
sub26_AB,AB,0.0,1.0,,1.0,True
sub56_NB,NB,0.0,1.0,,1.0,True
sub79_NB,NB,0.0,1.0,,1.0,True
sub176_NB,NB,0.0,1.0,,1.0,True
sub174_NB,NB,0.0,1.0,,1.0,True
sub113_AB,AB,1.0,1.0,,1.0,True
sub119_AB,AB,0.0,1.0,,1.0,True
sub39_AB,AB,0.0,1.0,,1.0,True
sub100_AB,AB,0.0,1.0,,1.0,True
sub49_NB,NB,1.0,1.0,,1.0,True
sub129_AB,AB,1.0,1.0,,1.0,True
sub145_AB,AB,0.0,1.0,,1.0,True
sub101_AB,AB,0.0,1.0,,1.0,True
sub130_AB,AB,0.0,1.0,,1.0,True
sub141_AB,AB,0.0,1.0,,1.0,True
sub154_NB,NB,0.0,1.0,,1.0,True
Sub41_AB,AB,0.0,1.0,,1.0,True
sub65_NB,NB,0.0,1.0,,1.0,True
sub63_NB,NB,0.0,1.0,,1.0,True
sub64_NB,NB,0.0,1.0,,1.0,True
sub155_NB,NB,0.0,1.0,,1.0,True
sub58_NB,NB,1.0,1.0,,1.0,True
